date,entry_time,exit_time,symbol,direction,strike,entry_price,exit_price,pnl_pts,pnl_rs,gross_pnl_rs,net_pnl_rs,peak_pnl,exit_reason,dte,candles_held,session,sl_pts,vix_at_entry,entry_mode,bias,hourly_rsi,brokerage,stt,exchange_charges,gst,stamp_duty,total_charges,num_exit_orders,qty_exited,entry_slippage,exit_slippage,lot_id,entry_ema9_high,entry_ema9_low,exit_ema9_high,exit_ema9_low,entry_band_position,exit_band_position,entry_body_pct,xleg_signal,xleg_other_close,xleg_other_ema9l,xleg_other_dying,xleg_other_margin,spike_close,spike_target,spike_fill,spike_wait_used
2026-02-20,09:30:02,09:30:50,NIFTY26FEB25450PE,PE,,162.6,142.25,-20.35,-1322.75,,,,HARD_SL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-20,09:30:02,09:30:51,NIFTY26FEB25450PE,PE,,162.6,142.25,-20.35,-1322.75,,,,HARD_SL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-20,11:57:56,12:33:02,NIFTY26FEB25550CE,CE,,178.05,209.9,31.85,2070.25,,,,GAMMA_RIDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-18,09:57:42,10:18:02,NIFTY2632423700PE,PE,,229.15,232.45,3.3,214.5,,,32.45,TRAIL_TIGHT,6,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-18,10:22:32,13:15:48,NIFTY2632423700CE,CE,,230.65,230.65,0.0,0.0,,,55.5,FORCE_EXIT,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-18,13:21:32,13:50:35,NIFTY2632423800CE,CE,,230.0,229.9,-0.1,-6.5,,,18.0,BREAKEVEN_SL,6,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-18,13:54:32,14:08:10,NIFTY2632423850CE,CE,,213.65,193.2,-20.45,-1329.25,,,8.0,PHASE1_SL,6,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-18,14:54:33,15:04:18,NIFTY2632423800PE,PE,,233.25,213.15,-20.1,-1306.5,,,3.45,PHASE1_SL,6,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-19,10:12:32,10:23:58,NIFTY2632423250PE,PE,,259.8,253.35,-6.45,-419.25,,,23.5,FLOOR_WIDE,5,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-19,10:45:32,10:55:37,NIFTY2632423300CE,CE,,231.4,212.8,-18.6,-1209.0,,,0.0,PHASE1_SL,5,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-19,11:00:32,11:17:54,NIFTY2632423250PE,PE,,241.7,267.2,25.5,1657.5,,,36.1,MODERATE_DRAWDOWN,5,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-19,11:28:00,11:28:01,NIFTY2632423250PE,PE,,260.8,256.3,-4.5,-292.5,,,0.0,BREAKEVEN_SL,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-19,12:42:32,12:49:25,NIFTY2632423250PE,PE,,248.65,230.55,-18.1,-1176.5,,,4.4,PHASE1_SL,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
