date_added,symbol,direction,option_symbol,strike,expiry,lot_size,entry_premium,sl_premium,t1_premium,t2_premium,stock_price,stock_sl,pcr,max_pain,score,rank,current_premium,current_return_pct,last_checked,status,lots,investment,pnl_rs
2026-05-26,INDUSINDBK,CALL,INDUSINDBK26JUN930CE,930.0,2026-06-30,700,33.3,21.6,49.9,59.9,935.0,899.5,1.02,930.0,7,1,24.9,-25.2,2026-05-29,OPEN (-25.2%),1.0,23310.0,-5880.0
2026-05-26,AUBANK,CALL,AUBANK26JUN1020CE,1020.0,2026-06-30,1000,33.8,22.0,50.7,60.8,1015.6,975.6,0.98,1000.0,7,2,21.75,-35.7,2026-05-29,SL-HIT ❌,1.0,33800.0,-12050.0
2026-05-26,BANDHANBNK,CALL,BANDHANBNK26JUN200CE,200.0,2026-06-30,3600,9.5,6.2,14.2,17.1,201.25,191.6,0.68,200.0,6,3,16.71,75.9,2026-05-29,T1-HIT ✅,1.0,34200.0,25956.0
2026-05-26,INFY,PUT,INFY26JUN1170PE,1170.0,2026-06-30,400,40.0,26.0,60.0,72.0,1166.0,1211.0,0.75,1170.0,8,4,21.0,-47.5,2026-05-29,SL-HIT ❌,1.0,16000.0,-7600.0
2026-05-26,SBIN,PUT,SBIN26JUN970PE,970.0,2026-06-30,750,21.8,14.2,32.7,39.2,969.8,1007.2,0.94,970.0,7,5,22.2,1.8,2026-05-29,OPEN (+1.8%),1.0,16350.0,300.0
2026-05-26,TCS,PUT,TCS26JUN2280PE,2280.0,2026-06-30,175,62.05,40.3,93.1,111.7,2281.4,2361.8,0.83,2300.0,7,6,63.0,1.5,2026-05-29,OPEN (+1.5%),1.0,10859.0,166.0
2026-05-27,INDUSINDBK,CALL,INDUSINDBK26JUN930CE,930.0,2026-06-30,700,31.35,20.4,47.0,56.4,930.0,895.8,0.96,930.0,6,1,24.9,-20.6,2026-05-29,OPEN (-20.6%),,,-4515.0
2026-05-27,MOTHERSON,CALL,MOTHERSON26JUN143CE,143.0,2026-06-30,6150,5.85,3.8,8.8,10.5,143.0,135.4,0.31,138.0,6,2,6.8,16.2,2026-05-29,OPEN (+16.2%),,,5843.0
2026-05-27,MANKIND,CALL,MANKIND26JUN2420CE,2420.0,2026-06-30,225,94.75,61.6,142.1,170.6,2428.4,2313.4,1.14,2460.0,6,3,75.15,-20.7,2026-05-29,OPEN (-20.7%),,,-4410.0
2026-05-27,HDFCBANK,PUT,HDFCBANK26JUN760PE,760.0,2026-06-30,550,24.3,15.8,36.5,43.7,759.25,786.0,0.54,760.0,9,4,30.5,25.5,2026-05-29,OPEN (+25.5%),,,3410.0
2026-05-27,TCS,PUT,TCS26JUN2280PE,2280.0,2026-06-30,175,62.05,40.3,93.1,111.7,2289.9,2368.3,0.74,2300.0,8,5,63.0,1.5,2026-05-29,OPEN (+1.5%),,,166.0
2026-05-27,HCLTECH,PUT,HCLTECH26JUN1170PE,1170.0,2026-06-30,350,40.25,26.2,60.4,72.5,1166.9,1210.0,0.8,1170.0,8,6,28.9,-28.2,2026-05-29,OPEN (-28.2%),,,-3973.0
2026-05-28,INDUSINDBK,CALL,INDUSINDBK26JUN930CE,930.0,2026-06-30,700,32.05,20.8,48.1,57.7,932.3,898.1,0.96,930.0,6,1,24.9,-22.3,2026-05-29,OPEN (-22.3%),,,-5005.0
2026-05-28,MOTHERSON,CALL,MOTHERSON26JUN142CE,142.0,2026-06-30,6150,5.76,3.7,8.6,10.4,142.41,134.8,0.36,138.0,6,2,7.17,24.5,2026-05-29,OPEN (+24.5%),,,8672.0
2026-05-28,MANKIND,CALL,MANKIND26JUN2420CE,2420.0,2026-06-30,225,94.8,61.6,142.2,170.6,2420.4,2305.4,1.16,2460.0,6,3,75.15,-20.7,2026-05-29,OPEN (-20.7%),,,-4421.0
2026-05-28,HDFCBANK,PUT,HDFCBANK26JUN760PE,760.0,2026-06-30,550,24.15,15.7,36.2,43.5,758.65,785.4,0.55,760.0,9,4,30.5,26.3,2026-05-29,OPEN (+26.3%),,,3493.0
2026-05-28,TCS,PUT,TCS26JUN2280PE,2280.0,2026-06-30,175,63.05,41.0,94.6,113.5,2284.2,2362.6,0.74,2300.0,8,5,63.0,-0.1,2026-05-29,OPEN (-0.1%),,,-9.0
2026-05-28,HCLTECH,PUT,HCLTECH26JUN1170PE,1170.0,2026-06-30,350,40.2,26.1,60.3,72.4,1165.2,1208.3,0.79,1170.0,8,6,28.9,-28.1,2026-05-29,OPEN (-28.1%),,,-3955.0
2026-05-29,MUTHOOTFIN,PUT,MUTHOOTFIN26JUN3350PE,3350.0,2026-06-30,275,116.85,76.0,175.3,210.3,3332.8,3478.1,0.71,3300.0,7,19,177.55,51.9,2026-05-29,T1-HIT ✅,1.0,32134.0,16693.0
2026-05-29,LTM,PUT,LTM26JUN4050PE,4050.0,2026-06-30,150,189.35,123.1,284.0,340.8,4050.0,4247.4,0.68,4000.0,8,20,114.0,-39.8,2026-05-29,SL-HIT ❌,1.0,28402.0,-11302.0
2026-05-29,MAXHEALTH,PUT,MAXHEALTH26JUN1000PE,1000.0,2026-06-30,525,31.2,20.3,46.8,56.2,999.85,1044.6,0.43,1000.0,6,21,50.5,61.9,2026-05-29,T1-HIT ✅,1.0,16380.0,10132.0
2026-05-29,HINDUNILVR,PUT,HINDUNILVR26JUN2180PE,2180.0,2026-06-30,300,44.75,29.1,67.1,80.5,2186.7,2264.4,0.62,2200.0,6,22,58.7,31.2,2026-05-29,OPEN (+31.2%),1.0,13425.0,4185.0
2026-05-29,NESTLEIND,CALL,NESTLEIND26JUN1420CE,1420.0,2026-06-30,500,42.3,27.5,63.4,76.1,1425.0,1381.4,0.88,1430.0,6,23,50.0,18.2,2026-05-29,OPEN (+18.2%),1.0,21150.0,3850.0
2026-05-29,HAVELLS,PUT,HAVELLS26JUN1210PE,1210.0,2026-06-30,500,30.9,20.1,46.3,55.6,1214.4,1254.9,0.81,1200.0,6,24,43.1,39.5,2026-05-29,OPEN (+39.5%),1.0,15450.0,6100.0
2026-05-29,CONCOR,PUT,CONCOR26JUN475PE,475.0,2026-06-30,1250,15.1,9.8,22.6,27.2,475.75,496.2,0.67,485.0,6,25,19.05,26.2,2026-05-29,OPEN (+26.2%),1.0,18875.0,4938.0
2026-05-29,TITAN,PUT,TITAN26JUN4150PE,4150.0,2026-06-30,175,90.05,58.5,135.1,162.1,4153.5,4314.0,0.65,4150.0,7,26,112.8,25.3,2026-05-29,OPEN (+25.3%),1.0,15759.0,3981.0
2026-05-29,DMART,PUT,DMART26JUN4150PE,4150.0,2026-06-30,150,103.05,67.0,154.6,185.5,4145.0,4290.8,0.76,4150.0,6,27,153.25,48.7,2026-05-29,OPEN (+48.7%),1.0,15458.0,7530.0
