event_time,date,time,symbol,direction,option_symbol,entry_time,entry_premium,current_premium,pnl_pct,pnl_rs,lot_size,sl_premium,t1_premium,t2_premium,event_type,hold_minutes,notes
2026-05-27 09:15,2026-05-27,09:15,HCLTECH,PUT,HCLTECH26JUN1160PE,2026-05-27 09:15,36.7,36.7,0.0,0.0,350,23.9,55.1,66.1,NEW_ENTRY,0,score=6 pcr=0.81 rsi=36
2026-05-27 09:15,2026-05-27,09:15,LTM,PUT,LTM26JUN4000PE,2026-05-27 09:15,160.5,160.5,0.0,0.0,150,104.3,240.8,288.9,NEW_ENTRY,0,score=6 pcr=0.81 rsi=38
2026-05-27 09:15,2026-05-27,09:15,HEROMOTOCO,PUT,HEROMOTOCO26JUN5000PE,2026-05-27 09:15,158.5,158.5,0.0,0.0,150,103.0,237.8,285.3,NEW_ENTRY,0,score=7 pcr=0.79 rsi=43
2026-05-27 09:15,2026-05-27,09:15,PETRONET,CALL,PETRONET26JUN280CE,2026-05-27 09:15,9.3,9.3,0.0,0.0,1900,6.0,14.0,16.7,NEW_ENTRY,0,score=6 pcr=1.26 rsi=57
2026-05-27 09:15,2026-05-27,09:15,MAXHEALTH,PUT,MAXHEALTH26JUN1000PE,2026-05-27 09:15,33.8,33.8,0.0,0.0,525,22.0,50.7,60.8,NEW_ENTRY,0,score=6 pcr=0.53 rsi=43
2026-05-27 09:15,2026-05-27,09:15,ITC,PUT,ITC26JUN294.5PE,2026-05-27 09:15,5.3,5.3,0.0,0.0,1600,3.4,7.9,9.5,NEW_ENTRY,0,score=7 pcr=0.71 rsi=44
2026-05-27 09:15,2026-05-27,09:15,MARICO,CALL,MARICO26JUN835CE,2026-05-27 09:15,19.35,19.35,0.0,0.0,1200,12.6,29.0,34.8,NEW_ENTRY,0,score=6 pcr=0.81 rsi=61
2026-05-27 09:15,2026-05-27,09:15,COLPAL,PUT,COLPAL26JUN2080PE,2026-05-27 09:15,65.9,65.9,0.0,0.0,225,42.8,98.9,118.6,NEW_ENTRY,0,score=6 pcr=0.99 rsi=44
2026-05-27 09:15,2026-05-27,09:15,SIEMENS,CALL,SIEMENS26JUN3600CE,2026-05-27 09:15,171.95,171.95,0.0,0.0,175,111.8,257.9,309.5,NEW_ENTRY,0,score=6 pcr=1.47 rsi=52
2026-05-27 09:15,2026-05-27,09:15,HAVELLS,PUT,HAVELLS26JUN1200PE,2026-05-27 09:15,29.9,29.9,0.0,0.0,500,19.4,44.8,53.8,NEW_ENTRY,0,score=6 pcr=0.91 rsi=41
2026-05-27 09:15,2026-05-27,09:15,CONCOR,PUT,CONCOR26JUN480PE,2026-05-27 09:15,16.75,16.75,0.0,0.0,1250,10.9,25.1,30.2,NEW_ENTRY,0,score=7 pcr=0.73 rsi=36
2026-05-27 09:15,2026-05-27,09:15,RECLTD,PUT,RECLTD26JUN340PE,2026-05-27 09:15,10.0,10.0,0.0,0.0,1400,6.5,15.0,18.0,NEW_ENTRY,0,score=6 pcr=0.86 rsi=42
2026-05-27 09:15,2026-05-27,09:15,TITAN,PUT,TITAN26JUN4100PE,2026-05-27 09:15,80.45,80.45,0.0,0.0,175,52.3,120.7,144.8,NEW_ENTRY,0,score=6 pcr=0.99 rsi=42
2026-05-27 09:15,2026-05-27,09:15,DMART,PUT,DMART26JUN4100PE,2026-05-27 09:15,96.3,96.3,0.0,0.0,150,62.6,144.4,173.3,NEW_ENTRY,0,score=6 pcr=0.58 rsi=34
2026-05-27 09:15,2026-05-27,09:15,JUBLFOOD,PUT,JUBLFOOD26JUN430PE,2026-05-27 09:15,15.5,15.5,0.0,0.0,1250,10.1,23.2,27.9,NEW_ENTRY,0,score=7 pcr=0.7 rsi=38
2026-05-27 09:15,2026-05-27,09:15,INDUSINDBK,CALL,INDUSINDBK26JUN930CE,2026-05-26 09:15,33.3,34.05,2.3,525.0,700,21.6,49.9,59.9,UPDATE,1440,OPEN (+2.3%)
2026-05-27 09:15,2026-05-27,09:15,AUBANK,CALL,AUBANK26JUN1020CE,2026-05-26 09:15,33.8,33.45,-1.0,-350.0,1000,22.0,50.7,60.8,UPDATE,1440,OPEN (-1.0%)
2026-05-27 09:15,2026-05-27,09:15,BANDHANBNK,CALL,BANDHANBNK26JUN200CE,2026-05-26 09:15,9.5,9.25,-2.6,-900.0,3600,6.2,14.2,17.1,UPDATE,1440,OPEN (-2.6%)
2026-05-27 09:15,2026-05-27,09:15,INFY,PUT,INFY26JUN1170PE,2026-05-26 09:15,40.0,44.3,10.7,1720.0,400,26.0,60.0,72.0,UPDATE,1440,OPEN (+10.7%)
2026-05-27 09:15,2026-05-27,09:15,SBIN,PUT,SBIN26JUN970PE,2026-05-26 09:15,21.8,22.95,5.3,862.0,750,14.2,32.7,39.2,UPDATE,1440,OPEN (+5.3%)
2026-05-27 09:15,2026-05-27,09:15,TCS,PUT,TCS26JUN2280PE,2026-05-26 09:15,62.05,63.15,1.8,193.0,175,40.3,93.1,111.7,UPDATE,1440,OPEN (+1.8%)
2026-05-27 09:15,2026-05-27,09:15,HCLTECH,PUT,HCLTECH26JUN1160PE,2026-05-27 09:15,36.7,35.45,-3.4,-438.0,350,23.9,55.1,66.1,UPDATE,0,OPEN (-3.4%)
2026-05-27 09:15,2026-05-27,09:15,LTM,PUT,LTM26JUN4000PE,2026-05-27 09:15,160.5,160.5,0.0,0.0,150,104.3,240.8,288.9,UPDATE,0,OPEN (+0.0%)
