date_added,symbol,direction,option_symbol,strike,expiry,lot_size,entry_premium,sl_premium,t1_premium,t2_premium,stock_price,stock_sl,pcr,max_pain,score,rank,current_premium,current_return_pct,last_checked,status,lots,investment,pnl_rs,structure,sell_strike,sell_symbol,net_debit,elite,regime,signals
2026-06-01,SHRIRAMFIN,PUT,SHRIRAMFIN26JUN950PE,950.0,2026-06-30,825,30.1,22.6,42.7,55.4,953.85,993.6,0.77,960.0,8,1,44.4,47.5,2026-06-01,T1-HIT ✅,1.0,24832.0,11797.0,NAKED,,,,0.0,NEUTRAL,P/EMA20 ok | P/EMA50 ok | EMA trend ok | RSI=44 | PCR=0.77 | MaxPain pull
2026-06-01,SBILIFE,PUT,SBILIFE26JUN1840PE,1840.0,2026-06-30,375,43.15,32.4,60.4,77.7,1830.1,1884.7,1.11,1880.0,8,2,66.8,54.8,2026-06-02,T1-HIT ✅,1.0,16181.0,8869.0,NAKED,,,,0.0,NEUTRAL,P/EMA20 ok | P/EMA50 ok | EMA trend ok | RSI=42 | 5d=-1.6% | VolSpike | MaxPain pull
2026-06-01,INFY,PUT,INFY26JUN1160PE,1160.0,2026-06-30,400,23.7,17.8,33.7,43.6,1160.9,1205.8,0.72,1180.0,11,3,17.55,-25.9,2026-06-01,SL-HIT ❌,1.0,9480.0,-2460.0,NAKED,,,,0.0,NEUTRAL,P/EMA20 ok | P/EMA50 ok | EMA trend ok | ADX=19 | slope=-0.5% | RSI=46 | 5d=-1.7% | PCR=0.72 | MaxPain pull
2026-06-01,HCLTECH,PUT,HCLTECH26JUN1180PE,1180.0,2026-06-30,350,23.95,18.0,34.0,44.1,1183.8,1222.3,0.71,1170.0,10,4,17.25,-28.0,2026-06-02,SL-HIT ❌,1.0,8382.0,-2345.0,NAKED,,,,0.0,NEUTRAL,P/EMA20 ok | P/EMA50 ok | EMA trend ok | ADX=36 | ADX strong | slope=-1.1% | RSI=46 | PCR=0.71
2026-06-02,HDFCBANK,PUT,HDFCBANK26JUN745PE,745.0,2026-06-30,550,28.0,21.0,39.8,51.5,742.7,768.3,0.72,750.0,11,5,21.0,-25.0,2026-06-02,SL-HIT ❌,1.0,15400.0,-3850.0,NAKED,,,,0.0,WEAK_BEAR,P/EMA20 ok | P/EMA50 ok | EMA trend ok | ADX=19 | slope=-0.6% | RSI=41 | 5d=-3.1% | PCR=0.72 | MaxPain pull
2026-06-02,ICICIBANK,PUT,ICICIBANK26JUN1240PE,1240.0,2026-06-30,700,27.0,20.2,37.8,48.6,1239.7,1276.7,0.84,1280.0,8,6,20.05,-25.7,2026-06-03,SL-HIT ❌,1.0,18900.0,-4865.0,NAKED,,,,0.0,WEAK_BEAR,P/EMA20 ok | P/EMA50 ok | EMA trend ok | RSI=42 | 5d=-1.9% | PCR=0.84 | MaxPain pull
2026-06-02,SBIN,PUT,SBIN26JUN950PE,950.0,2026-06-30,750,22.2,16.6,30.9,39.5,954.1,982.0,0.94,970.0,9,7,16.15,-27.3,2026-06-02,SL-HIT ❌,1.0,16650.0,-4538.0,NAKED,,,,0.0,WEAK_BEAR,P/EMA20 ok | P/EMA50 ok | EMA trend ok | ADX=30 | slope=-1.4% | RSI=41 | PCR=0.94 | MaxPain pull
2026-06-02,MUTHOOTFIN,PUT,MUTHOOTFIN26JUN3250PE,3250.0,2026-06-30,275,113.65,85.2,161.4,209.1,3246.4,3404.4,0.74,3300.0,10,8,161.55,42.1,2026-06-03,T1-HIT ✅,1.0,31254.0,13173.0,NAKED,,,,0.0,WEAK_BEAR,P/EMA20 ok | P/EMA50 ok | EMA trend ok | slope=-1.0% | RSI=38 | 5d=-1.5% | PCR=0.74 | MaxPain pull
2026-06-03,HDFCBANK,PUT,HDFCBANK26JUN750PE,750.0,2026-06-30,550,24.55,18.4,34.9,45.2,748.25,774.3,0.67,750.0,11,9,21.6,-12.0,2026-06-03,OPEN (-12.0%),1.0,13502.0,-1622.0,NAKED,,,,0.0,WEAK_BEAR,P/EMA20 ok | P/EMA50 ok | EMA trend ok | ADX=19 | slope=-1.0% | RSI=49 | 5d=-4.9% | PCR=0.67 | MaxPain pull
2026-06-03,SBIN,PUT,SBIN26JUN960PE,960.0,2026-06-30,750,23.45,17.6,32.6,41.7,956.65,984.8,0.88,970.0,11,10,17.0,-27.5,2026-06-03,SL-HIT ❌,1.0,17588.0,-4837.0,NAKED,,,,0.0,WEAK_BEAR,P/EMA20 ok | P/EMA50 ok | EMA trend ok | ADX=30 | ADX strong | slope=-1.4% | RSI=42 | 5d=-1.3% | PCR=0.88 | MaxPain pull
