instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange,_date
15956226,62329,NIFTY26JUNFUT,NIFTY,0.0,2026-06-30,0.0,0.1,65,FUT,NFO-FUT,NFO,2026-06-03
15639810,61093,NIFTY26JULFUT,NIFTY,0.0,2026-07-28,0.0,0.1,65,FUT,NFO-FUT,NFO,2026-06-03
14866434,58072,NIFTY26AUGFUT,NIFTY,0.0,2026-08-25,0.0,0.1,65,FUT,NFO-FUT,NFO,2026-06-03
15955458,62326,BANKNIFTY26JUNFUT,BANKNIFTY,0.0,2026-06-30,0.0,0.2,30,FUT,NFO-FUT,NFO,2026-06-03
15638530,61088,BANKNIFTY26JULFUT,BANKNIFTY,0.0,2026-07-28,0.0,0.2,30,FUT,NFO-FUT,NFO,2026-06-03
14865154,58067,BANKNIFTY26AUGFUT,BANKNIFTY,0.0,2026-08-25,0.0,0.2,30,FUT,NFO-FUT,NFO,2026-06-03
15956738,62331,360ONE26JUNFUT,360ONE,0.0,2026-06-30,0.0,0.1,500,FUT,NFO-FUT,NFO,2026-06-03
15640322,61095,360ONE26JULFUT,360ONE,0.0,2026-07-28,0.0,0.1,500,FUT,NFO-FUT,NFO,2026-06-03
14866946,58074,360ONE26AUGFUT,360ONE,0.0,2026-08-25,0.0,0.1,500,FUT,NFO-FUT,NFO,2026-06-03
15956994,62332,ABB26JUNFUT,ABB,0.0,2026-06-30,0.0,0.5,125,FUT,NFO-FUT,NFO,2026-06-03
15640578,61096,ABB26JULFUT,ABB,0.0,2026-07-28,0.0,0.5,125,FUT,NFO-FUT,NFO,2026-06-03
14867202,58075,ABB26AUGFUT,ABB,0.0,2026-08-25,0.0,0.5,125,FUT,NFO-FUT,NFO,2026-06-03
15957250,62333,ABCAPITAL26JUNFUT,ABCAPITAL,0.0,2026-06-30,0.0,0.05,3100,FUT,NFO-FUT,NFO,2026-06-03
15640834,61097,ABCAPITAL26JULFUT,ABCAPITAL,0.0,2026-07-28,0.0,0.05,3100,FUT,NFO-FUT,NFO,2026-06-03
14870018,58086,ABCAPITAL26AUGFUT,ABCAPITAL,0.0,2026-08-25,0.0,0.05,3100,FUT,NFO-FUT,NFO,2026-06-03
15959554,62342,ADANIENSOL26JUNFUT,ADANIENSOL,0.0,2026-06-30,0.0,0.1,675,FUT,NFO-FUT,NFO,2026-06-03
15641090,61098,ADANIENSOL26JULFUT,ADANIENSOL,0.0,2026-07-28,0.0,0.1,675,FUT,NFO-FUT,NFO,2026-06-03
14870274,58087,ADANIENSOL26AUGFUT,ADANIENSOL,0.0,2026-08-25,0.0,0.1,675,FUT,NFO-FUT,NFO,2026-06-03
15959810,62343,ADANIENT26JUNFUT,ADANIENT,0.0,2026-06-30,0.0,0.1,309,FUT,NFO-FUT,NFO,2026-06-03
15641346,61099,ADANIENT26JULFUT,ADANIENT,0.0,2026-07-28,0.0,0.1,309,FUT,NFO-FUT,NFO,2026-06-03
14870530,58088,ADANIENT26AUGFUT,ADANIENT,0.0,2026-08-25,0.0,0.1,309,FUT,NFO-FUT,NFO,2026-06-03
