instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange,_date
256265,1001,NIFTY 50,NIFTY 50,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
256777,1003,NIFTY MIDCAP 100,NIFTY MIDCAP 100,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
260105,1016,NIFTY BANK,NIFTY BANK,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
260617,1018,NIFTY 100,NIFTY 100,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
257033,1004,NIFTY DIV OPPS 50,NIFTY DIV OPPS 50,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
257289,1005,NIFTY COMMODITIES,NIFTY COMMODITIES,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
257545,1006,NIFTY CONSUMPTION,NIFTY CONSUMPTION,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
257801,1007,NIFTY FIN SERVICE,NIFTY FIN SERVICE,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
258825,1011,NIFTY50 PR 2X LEV,NIFTY50 PR 2X LEV,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
259081,1012,NIFTY50 PR 1X INV,NIFTY50 PR 1X INV,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
259337,1013,NIFTY50 TR 2X LEV,NIFTY50 TR 2X LEV,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
259593,1014,NIFTY50 TR 1X INV,NIFTY50 TR 1X INV,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
259849,1015,NIFTY IT,NIFTY IT,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
260873,1019,NIFTY MIDCAP 50,NIFTY MIDCAP 50,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
261129,1020,NIFTY REALTY,NIFTY REALTY,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
261385,1021,NIFTY INFRA,NIFTY INFRA,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
261641,1022,NIFTY ENERGY,NIFTY ENERGY,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
261897,1023,NIFTY FMCG,NIFTY FMCG,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
262153,1024,NIFTY MNC,NIFTY MNC,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
262409,1025,NIFTY PHARMA,NIFTY PHARMA,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
262665,1026,NIFTY PSE,NIFTY PSE,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
262921,1027,NIFTY PSU BANK,NIFTY PSU BANK,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
263177,1028,NIFTY SERV SECTOR,NIFTY SERV SECTOR,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
263433,1029,NIFTY AUTO,NIFTY AUTO,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
263689,1030,NIFTY METAL,NIFTY METAL,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
263945,1031,NIFTY MEDIA,NIFTY MEDIA,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
264457,1033,NIFTY 200,NIFTY 200,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
264713,1034,HANGSENG BEES-NAV,HANGSENG BEES-NAV,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
264969,1035,INDIA VIX,INDIA VIX,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
265225,1036,NIFTY50 DIV POINT,NIFTY50 DIV POINT,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
265737,1038,NIFTY200 QUALTY30,NIFTY200 QUALTY30,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
265993,1039,NIFTY ALPHA 50,NIFTY ALPHA 50,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
266249,1040,NIFTY MIDCAP 150,NIFTY MIDCAP 150,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
266505,1041,NIFTY MIDSML 400,NIFTY MIDSML 400,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
266761,1042,NIFTY SMLCAP 50,NIFTY SMLCAP 50,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
267017,1043,NIFTY SMLCAP 100,NIFTY SMLCAP 100,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
267273,1044,NIFTY SMLCAP 250,NIFTY SMLCAP 250,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
267529,1045,NIFTY50 VALUE 20,NIFTY50 VALUE 20,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
267785,1046,NIFTY100 LIQ 15,NIFTY100 LIQ 15,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
268041,1047,NIFTY 500,NIFTY 500,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
268297,1048,NIFTY CPSE,NIFTY CPSE,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
268553,1049,NIFTY GS 4 8YR,NIFTY GS 4 8YR,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
268809,1050,NIFTY GS 8 13YR,NIFTY GS 8 13YR,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
269065,1051,NIFTY GS 10YR,NIFTY GS 10YR,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
269321,1052,NIFTY GS 10YR CLN,NIFTY GS 10YR CLN,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
269577,1053,NIFTY GS 11 15YR,NIFTY GS 11 15YR,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
269833,1054,NIFTY GS 15YRPLUS,NIFTY GS 15YRPLUS,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
270089,1055,NIFTY GS COMPSITE,NIFTY GS COMPSITE,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
270345,1056,NIFTY GROWSECT 15,NIFTY GROWSECT 15,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
270601,1057,NIFTY MID LIQ 15,NIFTY MID LIQ 15,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
270857,1058,NIFTY NEXT 50,NIFTY NEXT 50,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
271113,1059,NIFTY PVT BANK,NIFTY PVT BANK,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
271625,1061,NIFTY50 EQL WGT,NIFTY50 EQL WGT,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
271881,1062,NIFTY100 EQL WGT,NIFTY100 EQL WGT,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
272137,1063,NIFTY100 LOWVOL30,NIFTY100 LOWVOL30,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
272393,1064,NIFTY100 QUALTY30,NIFTY100 QUALTY30,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
273673,1069,NIFTY ALPHALOWVOL,NIFTY ALPHALOWVOL,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
288009,1125,NIFTY MID SELECT,NIFTY MIDCAP SELECT (MIDCPNIFTY),0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
288265,1126,NIFTY FINSRV25 50,NIFTY FINSRV25 50,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
288521,1127,NIFTY HEALTHCARE,NIFTY HEALTHCARE,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
288777,1128,NIFTY CONSR DURBL,NIFTY CONSR DURBL,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
289033,1129,NIFTY OIL AND GAS,NIFTY OIL AND GAS,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
289289,1130,NIFTY500 MULTICAP,NIFTY500 MULTICAP,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
289545,1131,NIFTY LARGEMID250,NIFTY LARGEMID250,0.0,,0.0,0.0,0,EQ,INDICES,NSE,2026-06-03
