Symbol,Name,TopPick_Rank,Passed,Score,Grade,Price,MCap_Cr,PE,PEG,ROE_%,ROCE_%,OPM_%,DebtEquity,PromoterHold_%,Pledge_%,SalesGr3Y_%,ProfitGr3Y_%,FCF_Cr,SL,Target_1Y,Target_3Y,Target_5Y,52W_High,52W_Low,Dist_52H_%,Range_Pos_%,Tech_Signal,Momentum,Entry_Quality,FailReasons
ACE,Action Construction Equipment ,20,True,13,🔥 STRONG,895.0,10657.0,25.7,0.76,22.9,31.7,,0.0,65.42,,14.9,33.9,67.0,716.0,1118.8,1765.7,2118.8,,,,,N/A,N/A,❌ AVOID,
AJANTPHARM,Ajanta Pharma Ltd,,True,13,🔥 STRONG,3097.0,38684.0,36.6,1.69,25.4,32.3,,0.06,66.25,,13.4,21.6,100.0,2477.6,3871.2,4859.3,5831.1,,,,,N/A,N/A,❌ AVOID,
ANANDRATHI,Anand Rathi Wealth Ltd,7,True,13,🔥 STRONG,3587.0,29761.0,75.3,2.29,47.3,59.2,,0.08,43.11,,30.9,32.9,345.0,2869.6,4483.8,4154.5,4985.4,,,,,N/A,N/A,❌ AVOID,
CEMPRO,Cemindia Projects Ltd,18,True,13,🔥 STRONG,943.0,16156.0,27.0,0.39,28.2,33.8,,0.38,67.46,,25.5,68.5,351.0,754.4,1178.8,2451.7,2942.1,,,,,N/A,N/A,❌ AVOID,
DOMS,DOMS Industries Ltd,,True,13,🔥 STRONG,2203.0,13358.0,58.0,1.78,20.7,24.3,,0.12,70.38,,24.3,32.6,105.0,1762.4,2753.8,3294.2,3953.1,,,,,N/A,N/A,❌ AVOID,
FORCEMOT,Force Motors Ltd,4,True,13,🔥 STRONG,19833.0,26109.0,24.7,0.23,29.2,36.1,,0.0,61.63,,21.7,108.4,397.0,15866.4,24791.2,51558.3,61870.0,,,,,N/A,N/A,❌ AVOID,
GODFRYPHLP,Godfrey Phillips India Ltd,,True,13,🔥 STRONG,2298.0,35859.0,23.5,0.78,26.6,32.8,,0.04,72.58,,21.5,30.3,545.0,1838.4,2872.5,4247.8,5097.3,,,,,N/A,N/A,❌ AVOID,
HBLENGINE,HBL Engineering Ltd,3,True,13,🔥 STRONG,799.0,22143.0,26.4,0.26,45.3,58.4,,0.03,59.11,,34.1,102.5,524.0,639.2,998.8,2077.4,2492.9,,,,,N/A,N/A,❌ AVOID,
HINDCOPPER,Hindustan Copper Ltd,9,True,13,🔥 STRONG,556.0,53762.0,54.4,1.18,32.9,42.5,,0.03,66.14,,22.4,46.0,1040.0,444.8,695.0,1119.0,1342.8,,,,,N/A,N/A,❌ AVOID,
INDIAMART,Indiamart Intermesh Ltd,,True,13,🔥 STRONG,2038.0,12261.0,25.8,1.38,20.7,28.0,,0.01,49.12,,16.8,18.7,347.0,1630.4,2547.5,3021.3,3625.5,,,,,N/A,N/A,❌ AVOID,
IRCTC,Indian Railway Catering & Tour,15,True,13,🔥 STRONG,537.0,42980.0,31.1,2.53,37.1,49.0,,0.02,62.4,,12.4,12.3,581.0,429.6,671.2,699.9,839.8,,,,,N/A,N/A,❌ AVOID,
IGIL,International Gemmological Ins,10,True,13,🔥 STRONG,381.0,16467.0,28.9,1.4,43.0,53.6,,0.1,76.55,,26.5,20.6,195.0,304.8,476.2,586.1,703.4,,,,,N/A,N/A,❌ AVOID,
IKS,Inventurus Knowledge Solutions,14,True,13,🔥 STRONG,1646.0,28229.0,39.1,1.17,40.3,36.9,,0.34,63.72,,45.8,33.3,464.0,1316.8,2057.5,3213.1,3855.8,,,,,N/A,N/A,❌ AVOID,
NATCOPHARM,Natco Pharma Ltd,,True,13,🔥 STRONG,1186.0,21246.0,13.6,0.46,28.0,32.8,,0.03,49.41,,19.0,29.6,261.0,948.8,1482.5,2164.3,2597.2,,,,,N/A,N/A,❌ AVOID,
NEWGEN,Newgen Software Technologies L,,True,13,🔥 STRONG,436.0,6203.0,18.7,0.95,20.2,25.8,,0.02,53.52,,17.3,19.6,70.0,348.8,545.0,658.1,789.7,,,,,N/A,N/A,❌ AVOID,
NAM-INDIA,Nippon Life India Asset Manage,12,True,13,🔥 STRONG,1096.0,69991.0,45.8,1.61,34.5,43.8,,0.02,71.93,,21.5,28.4,1140.0,876.8,1370.0,1921.9,2306.3,,,,,N/A,N/A,❌ AVOID,
RRKABEL,R R Kabel Ltd,,True,13,🔥 STRONG,1977.0,22357.0,44.2,1.18,21.4,28.1,,0.13,61.65,,20.2,37.3,32.0,1581.6,2471.2,4143.8,4972.5,,,,,N/A,N/A,❌ AVOID,
RADICO,Radico Khaitan Ltd,,True,13,🔥 STRONG,3578.0,47923.0,77.7,1.94,20.3,24.2,,0.15,40.2,,24.5,40.0,477.0,2862.4,4472.5,4552.7,5463.3,,,,,N/A,N/A,❌ AVOID,
TRAVELFOOD,Travel Food Services Ltd,,True,13,🔥 STRONG,1201.0,15810.0,35.8,1.65,35.3,42.4,,0.17,86.19,,15.6,21.7,243.0,960.8,1501.2,1888.1,2265.8,,,,,N/A,N/A,❌ AVOID,
TRITURBINE,Triveni Turbine Ltd,,True,13,🔥 STRONG,690.0,21932.0,60.7,2.78,27.1,35.9,,0.02,55.84,,20.5,21.8,133.0,552.0,862.5,805.9,967.1,,,,,N/A,N/A,❌ AVOID,
ECLERX,eClerx Services Ltd,,True,13,🔥 STRONG,1567.0,14753.0,20.9,1.61,29.0,34.8,,0.15,54.53,,15.8,13.0,732.0,1253.6,1958.8,2071.6,2485.9,,,,,N/A,N/A,❌ AVOID,
3MINDIA,3M India Ltd,,True,12,✅ BUY,33100.0,37273.0,61.0,1.97,30.5,40.5,,0.01,75.0,,7.9,31.0,374.0,26480.0,41375.0,45716.1,54859.3,,,,,N/A,N/A,❌ AVOID,SalesG3Y%:7.9(need >12.0)
ABSLAMC,Aditya Birla Sun Life AMC Ltd,,True,12,✅ BUY,1003.0,29025.0,29.7,1.67,25.2,32.2,,0.02,74.82,,11.0,17.8,717.0,802.4,1253.8,1460.7,1752.8,,,,,N/A,N/A,❌ AVOID,SalesG3Y%:11.0(need >12.0)
ANTHEM,Anthem Biosciences Ltd,,True,12,✅ BUY,772.0,43518.0,71.4,4.64,22.3,30.4,,0.02,74.67,,26.2,15.4,142.0,617.6,965.0,675.2,810.3,,,,,N/A,N/A,❌ AVOID,
AIIL,Authum Investment & Infrastruc,,True,12,✅ BUY,495.0,42230.0,11.6,,33.9,30.3,,0.18,68.81,,90.9,-5.5,36.0,396.0,618.8,436.2,523.5,,,,,N/A,N/A,❌ AVOID,ProfG3Y%:-5.5(need >12.0)
BLS,BLS International Services Ltd,,True,12,✅ BUY,265.0,10921.0,15.9,0.3,32.7,29.3,,0.17,70.39,,25.5,52.5,0.0,212.0,331.2,689.0,826.8,,,,,N/A,N/A,❌ AVOID,FCF:0(need>0)
BEL,Bharat Electronics Ltd,,True,12,✅ BUY,420.0,307157.0,50.7,1.91,27.6,36.5,,0.0,51.14,,15.9,26.6,3271.0,336.0,525.0,643.0,771.7,,,,,N/A,N/A,❌ AVOID,MCap:307157.0(₹200-100000cr)
CAPLIPOINT,Caplin Point Laboratories Ltd,,True,12,✅ BUY,2036.0,15495.0,24.2,1.22,20.6,24.6,,0.0,70.57,,14.2,19.9,-59.0,1628.8,2545.0,3090.4,3708.4,,,,,N/A,N/A,❌ AVOID,FCF:-59.0(need>0)
CUMMINSIND,Cummins India Ltd,,True,12,✅ BUY,5418.0,150286.0,64.5,2.91,28.2,36.3,,0.0,51.0,,14.3,22.2,1105.0,4334.4,6772.5,5999.9,7199.9,,,,,N/A,N/A,❌ AVOID,MCap:150286.0(₹200-100000cr)
LALPATHLAB,Dr Lal Pathlabs Ltd,,True,12,✅ BUY,1604.0,26848.0,50.9,1.79,22.5,28.3,,0.08,53.21,,11.1,28.4,214.0,1283.2,2005.0,2530.7,3036.9,,,,,N/A,N/A,❌ AVOID,SalesG3Y%:11.1(need >12.0)
EICHERMOT,Eicher Motors Ltd,,True,12,✅ BUY,7376.0,202351.0,36.4,1.54,24.0,30.5,,0.02,49.06,,17.5,23.7,1841.0,5900.8,9220.0,12050.0,14460.0,,,,,N/A,N/A,❌ AVOID,MCap:202351.0(₹200-100000cr)
EMCURE,Emcure Pharmaceuticals Ltd,,True,12,✅ BUY,1698.0,32231.0,34.1,1.82,20.1,24.0,,0.31,77.87,,15.4,18.7,-249.0,1358.4,2122.5,2517.1,3020.5,,,,,N/A,N/A,❌ AVOID,FCF:-249.0(need>0)
EMMVEE,Emmvee Photovoltaic Power Ltd,1,True,12,✅ BUY,295.0,20473.0,18.9,0.05,51.1,44.8,,0.1,80.03,,101.4,393.5,-104.0,236.0,368.8,767.0,920.4,,,,,N/A,N/A,❌ AVOID,FCF:-104.0(need>0)
ENGINERSIN,Engineers India Ltd,,True,12,✅ BUY,230.0,12952.0,18.7,0.72,23.8,30.6,,0.01,51.32,,5.7,26.0,218.0,184.0,287.5,392.5,471.0,,,,,N/A,N/A,❌ AVOID,SalesG3Y%:5.7(need >12.0)
GLAXO,Glaxosmithkline Pharmaceutical,11,True,12,✅ BUY,2282.0,38665.0,37.9,1.97,48.4,65.1,,0.01,75.0,,5.5,19.2,1300.0,1825.6,2852.5,3416.5,4099.8,,,,,N/A,N/A,❌ AVOID,SalesG3Y%:5.5(need >12.0)
HDFCAMC,HDFC Asset Management Company ,,True,12,✅ BUY,2740.0,117373.0,41.1,1.57,32.9,42.9,,0.0,52.37,,18.5,26.2,1885.0,2192.0,3425.0,4693.6,5632.4,,,,,N/A,N/A,❌ AVOID,MCap:117373.0(₹200-100000cr)
JSWDULUX,JSW Dulux Ltd,17,True,12,✅ BUY,2910.0,13210.0,30.5,0.38,32.6,38.2,,0.03,61.2,,-1.8,80.6,897.0,2328.0,3637.5,7564.9,9077.9,,,,,N/A,N/A,❌ AVOID,SalesG3Y%:-1.8(need >12.0)
JYOTICNC,Jyoti CNC Automation Ltd,8,True,12,✅ BUY,660.0,15010.0,42.4,0.25,21.2,24.4,,0.4,62.55,,30.6,169.9,-434.0,528.0,825.0,1716.2,2059.4,,,,,N/A,N/A,❌ AVOID,FCF:-434.0(need>0)
LUPIN,Lupin Ltd,13,True,12,✅ BUY,2266.0,103567.0,18.0,0.14,29.1,30.3,,0.29,46.85,,18.9,128.6,3469.0,1812.8,2832.5,5890.8,7068.9,,,,,N/A,N/A,❌ AVOID,MCap:103567.0(₹200-100000cr)
MAZDOCK,Mazagon Dock Shipbuilders Ltd,,True,12,✅ BUY,2460.0,99163.0,38.4,1.2,29.2,36.0,,0.05,81.22,,18.4,32.1,-1682.0,1968.0,3075.0,4698.6,5638.4,,,,,N/A,N/A,❌ AVOID,FCF:-1682.0(need>0)
NBCC,NBCC (India) Ltd,,True,12,✅ BUY,95.6,25801.0,39.0,1.01,24.1,31.0,,0.0,61.75,,13.2,38.7,0.0,76.5,119.5,205.2,246.3,,,,,N/A,N/A,❌ AVOID,FCF:0(need>0)
NMDC,NMDC Ltd,,True,12,✅ BUY,90.7,79733.0,11.6,1.61,23.6,29.6,,0.11,60.79,,16.2,7.2,2200.0,72.6,113.4,106.2,127.5,,,,,N/A,N/A,❌ AVOID,ProfG3Y%:7.2(need >12.0)
NATIONALUM,National Aluminium Company Ltd,16,True,12,✅ BUY,416.0,76441.0,13.2,0.22,29.4,39.6,,0.0,51.28,,7.8,59.3,2238.0,332.8,520.0,1081.6,1297.9,,,,,N/A,N/A,❌ AVOID,SalesG3Y%:7.8(need >12.0)
OFSS,Oracle Financial Services Soft,,True,12,✅ BUY,9882.0,86072.0,32.6,2.41,32.6,45.3,,0.0,72.44,,10.4,13.5,3574.0,7905.6,12352.5,13197.9,15837.5,,,,,N/A,N/A,❌ AVOID,SalesG3Y%:10.4(need >12.0)
POLYCAB,Polycab India Ltd,,True,12,✅ BUY,9614.0,144763.0,54.2,1.92,24.5,34.3,,0.02,61.5,,27.0,28.3,961.0,7691.2,12017.5,14219.8,17063.8,,,,,N/A,N/A,❌ AVOID,MCap:144763.0(₹200-100000cr)
UNITDSPR,United Spirits Ltd,,True,12,✅ BUY,1293.0,94010.0,51.5,2.91,21.4,27.5,,0.05,56.68,,5.5,17.7,1031.0,1034.4,1616.2,1642.3,1970.8,,,,,N/A,N/A,❌ AVOID,SalesG3Y%:5.5(need >12.0)
