symbol,event_date,ann_time,subject,data_type,swing_pct,normal_avg_pct,is_dangerous,gap_pct
HDFCBANK,2025-10-30,11:16,Outcome of Board Meeting,daily_only,,,False,-0.416
ICICIBANK,2025-06-27,12:01,Outcome of Board Meeting,daily_only,,,False,-0.027
ICICIBANK,2025-09-19,15:42,Outcome of Board Meeting,daily_only,,,False,0.121
KOTAKBANK,2025-05-05,13:14,Outcome of Board Meeting,daily_only,,,False,0.048
AXISBANK,2025-07-17,15:39,Outcome of Board Meeting,daily_only,,,True,-6.018
AXISBANK,2025-10-15,15:36,Outcome of Board Meeting,daily_only,,,True,4.001
AXISBANK,2026-01-26,13:14,Outcome of Board Meeting,daily_only,,,,
AXISBANK,2026-01-27,15:58,Outcome of Board Meeting,daily_only,,,True,2.447
SBIN,2025-05-20,15:52,Outcome of Board Meeting,daily_only,,,False,0.172
SBIN,2025-07-16,13:32,Outcome of Board Meeting,daily_only,,,False,0.806
SBIN,2025-08-08,13:16,Outcome of Board Meeting,daily_only,,,False,0.46
SBIN,2025-11-04,13:26,Outcome of Board Meeting,daily_only,,,False,1.258
SBIN,2026-05-08,14:01,Outcome of Board Meeting,intraday_5min,6.339,0.443,True,-1.207
SBIN,2026-05-12,14:00,Outcome of Board Meeting,intraday_5min,0.617,0.25,False,0.349
INDUSINDBK,2025-05-21,18:29,Outcome of Board Meeting,daily_only,,,True,-2.591
INDUSINDBK,2025-07-23,18:21,Outcome of Board Meeting,daily_only,,,False,0.482
INDUSINDBK,2025-07-28,17:27,Outcome of Board Meeting,daily_only,,,False,-0.256
INDUSINDBK,2026-01-23,16:02,Outcome of Board Meeting,daily_only,,,,
INDUSINDBK,2026-04-24,16:40,Outcome of Board Meeting,intraday_5min,0.997,0.271,True,2.034
BANDHANBNK,2025-06-27,20:33,Outcome of Board Meeting,daily_only,,,False,0.216
BANDHANBNK,2025-07-18,15:41,Outcome of Board Meeting,daily_only,,,True,-3.272
BANDHANBNK,2025-10-30,16:47,Outcome of Board Meeting,daily_only,,,True,-3.799
BANDHANBNK,2025-11-27,20:18,Outcome of Board Meeting,daily_only,,,False,0.775
BANDHANBNK,2026-01-22,15:43,Outcome of Board Meeting,daily_only,,,True,5.433
BANDHANBNK,2026-02-12,17:35,Outcome of Board Meeting,daily_only,,,False,-0.849
BANDHANBNK,2026-04-27,13:39,Outcome of Board Meeting,intraday_5min,1.813,0.38,True,-1.215
BANDHANBNK,2026-04-28,15:52,Outcome of Board Meeting,intraday_5min,2.279,0.345,True,4.12
FEDERALBNK,2025-06-30,20:52,Outcome of Board Meeting,daily_only,,,False,0.577
FEDERALBNK,2025-10-24,09:10,Outcome of Board Meeting,daily_only,,,False,1.099
FEDERALBNK,2026-01-16,12:23,Outcome of Board Meeting,daily_only,,,False,0.444
