symbol,events_found,events_with_intraday,events_with_data,dangerous_events,filter_accuracy_pct,avg_event_swing_pct,avg_normal_swing_pct,swing_ratio,note
HDFCBANK,5,0,1,0,0.0,,,,
ICICIBANK,7,0,2,0,0.0,,,,
KOTAKBANK,5,0,1,0,0.0,,,,
AXISBANK,5,0,3,3,100.0,,,,
SBIN,7,2,6,1,16.7,3.478,0.347,10.02,
INDUSINDBK,6,1,4,2,50.0,0.997,0.271,3.68,
BANDHANBNK,8,2,8,5,62.5,2.046,0.362,5.65,
FEDERALBNK,6,1,4,1,25.0,4.974,0.543,9.16,
PNB,5,1,4,1,25.0,5.447,0.511,10.66,
BANKBARODA,5,1,5,3,60.0,1.605,0.31,5.18,
CANBK,8,2,8,3,37.5,3.867,0.43,8.99,
AUBANK,7,1,5,2,40.0,1.169,0.316,3.7,
IDFCFIRSTB,5,0,1,0,0.0,,,,
BAJFINANCE,4,1,4,3,75.0,0.788,0.27,2.92,
BAJAJFINSV,4,1,4,1,25.0,2.801,0.33,8.49,
CHOLAFIN,4,1,4,1,25.0,5.786,0.51,11.35,
LICHSGFIN,6,1,6,1,16.7,1.336,0.327,4.09,
MUTHOOTFIN,6,1,6,4,66.7,1.709,0.313,5.46,
SHRIRAMFIN,7,1,6,3,50.0,4.685,0.452,10.37,
HDFCLIFE,4,1,3,1,33.3,0.688,0.267,2.58,
SBILIFE,5,1,5,1,20.0,0.419,0.246,1.7,
ICICIGI,4,1,4,1,25.0,1.27,0.266,4.77,
LICI,6,1,6,4,66.7,0.832,0.234,3.56,
HDFCAMC,4,1,4,1,25.0,3.195,0.473,6.75,
JIOFIN,5,1,4,0,0.0,0.782,0.238,3.29,
TCS,7,0,6,1,16.7,,,,
INFY,6,1,6,2,33.3,1.606,0.228,7.04,
WIPRO,7,2,6,3,50.0,0.527,0.218,2.42,
HCLTECH,4,1,4,2,50.0,0.733,0.245,2.99,
TECHM,4,1,4,2,50.0,6.663,0.532,12.52,
