engine,symbol,date,entry_time,direction,entry_price,body_pct,exit_price,exit_time,exit_reason,pnl_pts,result,stoch_k,regime
E1,HDFCBANK,2026-04-13,2026-04-13 10:45:00+05:30,PE,789.8,90.63,799.8,2026-04-15 09:15:00+05:30,SL,-10.0,LOSS,,
E1,HDFCBANK,2026-04-13,2026-04-13 12:00:00+05:30,CE,791.7,97.37,806.8,2026-04-15 09:15:00+05:30,TRAIL_VWAP,15.1,WIN,,
E1,HDFCBANK,2026-04-15,2026-04-15 11:00:00+05:30,PE,808.8,66.67,818.8,2026-04-16 09:15:00+05:30,SL,-10.0,LOSS,,
E1,HDFCBANK,2026-04-15,2026-04-15 13:00:00+05:30,CE,810.4,91.11,816.0,2026-04-16 09:15:00+05:30,FORCE_CLOSE,5.6,WIN,,
E1,HDFCBANK,2026-04-15,2026-04-15 13:30:00+05:30,CE,810.4,66.67,816.0,2026-04-16 09:15:00+05:30,FORCE_CLOSE,5.6,WIN,,
E1,HDFCBANK,2026-04-20,2026-04-20 13:30:00+05:30,CE,798.6,67.69,801.7,2026-04-21 09:15:00+05:30,FORCE_CLOSE,3.1,WIN,,
E1,HDFCBANK,2026-04-22,2026-04-22 10:30:00+05:30,CE,805.8,95.18,795.8,2026-04-23 09:15:00+05:30,SL,-10.0,LOSS,,
E1,HDFCBANK,2026-04-22,2026-04-22 11:00:00+05:30,PE,804.1,71.43,794.5,2026-04-23 09:15:00+05:30,FORCE_CLOSE,9.6,WIN,,
E1,HDFCBANK,2026-04-24,2026-04-24 10:00:00+05:30,CE,780.8,87.5,789.4,2026-04-27 09:15:00+05:30,FORCE_CLOSE,8.6,WIN,,
E1,HDFCBANK,2026-04-24,2026-04-24 13:30:00+05:30,PE,782.7,80.0,792.7,2026-04-27 09:15:00+05:30,SL,-10.0,LOSS,,
E1,HDFCBANK,2026-04-24,2026-04-24 13:45:00+05:30,CE,784.0,92.86,789.4,2026-04-27 09:15:00+05:30,FORCE_CLOSE,5.4,WIN,,
E1,HDFCBANK,2026-04-24,2026-04-24 14:00:00+05:30,PE,781.9,71.19,791.9,2026-04-27 09:15:00+05:30,SL,-10.0,LOSS,,
E1,HDFCBANK,2026-04-24,2026-04-24 14:15:00+05:30,CE,783.5,71.11,789.4,2026-04-27 09:15:00+05:30,FORCE_CLOSE,5.9,WIN,,
E1,HDFCBANK,2026-04-27,2026-04-27 09:45:00+05:30,CE,789.55,69.77,790.0,2026-04-28 09:15:00+05:30,FORCE_CLOSE,0.45,WIN,,
E1,HDFCBANK,2026-04-27,2026-04-27 11:00:00+05:30,PE,788.8,71.11,790.0,2026-04-28 09:15:00+05:30,FORCE_CLOSE,-1.2,LOSS,,
E1,HDFCBANK,2026-04-27,2026-04-27 13:00:00+05:30,CE,789.5,95.83,790.0,2026-04-28 09:15:00+05:30,FORCE_CLOSE,0.5,WIN,,
E1,HDFCBANK,2026-04-28,2026-04-28 10:30:00+05:30,PE,790.9,84.62,782.9,2026-04-29 09:15:00+05:30,FORCE_CLOSE,8.0,WIN,,
E1,HDFCBANK,2026-04-29,2026-04-29 12:15:00+05:30,CE,786.05,67.74,776.05,2026-04-30 09:15:00+05:30,SL,-10.0,LOSS,,
E1,HDFCBANK,2026-04-29,2026-04-29 13:15:00+05:30,PE,785.05,75.0,763.5,2026-04-30 09:15:00+05:30,FORCE_CLOSE,21.55,WIN,,
E1,HDFCBANK,2026-04-29,2026-04-29 13:30:00+05:30,CE,786.0,76.0,776.0,2026-04-30 09:15:00+05:30,SL,-10.0,LOSS,,
E1,HDFCBANK,2026-04-29,2026-04-29 14:00:00+05:30,PE,783.95,78.95,763.5,2026-04-30 09:15:00+05:30,FORCE_CLOSE,20.45,WIN,,
E1,HDFCBANK,2026-04-30,2026-04-30 09:30:00+05:30,CE,767.3,92.77,782.7,2026-05-04 09:15:00+05:30,FORCE_CLOSE,15.4,WIN,,
E1,HDFCBANK,2026-04-30,2026-04-30 10:00:00+05:30,PE,765.0,69.09,775.0,2026-04-30 13:15:00+05:30,SL,-10.0,LOSS,,
E1,HDFCBANK,2026-04-30,2026-04-30 10:30:00+05:30,CE,767.5,73.64,782.7,2026-05-04 09:15:00+05:30,FORCE_CLOSE,15.2,WIN,,
